Name,school_year,students_suspended,total_enrollment,suspended_rate,type,grades,Address,Latitude,Longitude
ACORN Woodland Elementary,2017-18,1.0,307,0.00325732899022801,public,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
ARISE High,2017-18,10.0,296,0.0337837837837838,charter,9th - 12th,"3301 E 12th St # 205, Oakland, CA 94601, USA",37.77567,-122.224682
Achieve Academy,2017-18,11.0,708,0.0155367231638418,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Allendale Elementary,2017-18,2.0,396,0.00505050505050505,public,K-5,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Alliance Academy,2017-18,22.0,382,0.0575916230366492,public,6th - 8th,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
American Indian Public Charter,2017-18,7.0,150,0.0466666666666667,charter,5th - 8th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public Charter II,2017-18,19.0,678,0.028023598820059,charter,K-8,"171 12th St, Oakland, CA 94607, USA",37.800101,-122.265497
American Indian Public High,2017-18,23.0,381,0.0603674540682415,charter,9th - 12th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
Aspire Berkley Maynard Academy,2017-18,33.0,581,0.0567986230636833,charter,K-8,"6200 San Pablo Ave, Oakland, CA 94608, USA",37.844916,-122.284699
Aspire College Academy,2017-18,11.0,294,0.0374149659863946,charter,K-5,"8030 Atherton St, Oakland, CA 94605, USA",37.761558,-122.170949
Aspire ERES Academy,2017-18,29.0,239,0.121338912133891,charter,K-8,"1936 Courtland Ave, Oakland, CA 94601, USA",37.775569,-122.21229
Aspire Golden State College Preparatory Academy,2017-18,46.0,620,0.0741935483870968,charter,6th - 12th,"1009 66th Ave, Oakland, CA 94621, USA",37.759694,-122.198867
Aspire Lionel Wilson College Preparatory Academy,2017-18,37.0,538,0.0687732342007435,charter,6th - 12th,"400 105th Ave, Oakland, CA 94603, USA",37.729428,-122.179864
Aspire Monarch Academy,2017-18,3.0,436,0.00688073394495413,charter,K-5,"1445 101st Ave, Oakland, CA 94603, USA",37.74278,-122.167712
Aspire Triumph Technology Academy,2017-18,26.0,309,0.0841423948220065,charter,K-5,"3200 62nd Ave, Oakland, CA 94605, USA",37.774237,-122.182473
Bella Vista Elementary,2017-18,3.0,498,0.00602409638554217,public,K-5,"1025 E 28th St, Oakland, CA 94610, USA",37.80002,-122.237596
Bret Harte Middle,2017-18,35.0,774,0.0452196382428941,public,6th - 9th,"3700 Coolidge Ave, Oakland, CA 94602, USA",37.799696,-122.207414
Bridges Academy,2017-18,3.0,468,0.00641025641025641,public,K-5,"1325 53rd Ave, Oakland, CA 94601, USA",37.767511,-122.207223
Brookfield Elementary,2017-18,18.0,329,0.0547112462006079,public,K-5,"401 Jones Ave, Oakland, CA 94603, USA",37.735949,-122.188626
Burckhalter Elementary,2017-18,3.0,310,0.00967741935483871,public,K-5,"3994 Burckhalter Ave, Oakland, CA 94605, USA",37.775814,-122.166271
Carl B. Munck Elementary,2017-18,2.0,263,0.00760456273764259,public,K-5,"11900 Campus Dr, Oakland, CA 94619, USA",37.79522,-122.174062
Castlemont High,2017-18,73.0,1020,0.0715686274509804,public,9th - 12th,"8601 MacArthur Blvd, Oakland, CA 94605, USA",37.758308,-122.163277
