Name,school_year,students_suspended,total_enrollment,suspended_rate,type,grades,Address,Latitude,Longitude
Chabot Elementary,2017-18,3.0,574,0.00522648083623693,public,K-5,"6686 Chabot Rd, Oakland, CA 94618, USA",37.850071,-122.242799
Civicorps Corpsmember Academy,2017-18,0.0,0,,charter,9th - 12th,"101 Myrtle St, Oakland, CA 94607, USA",37.79949,-122.285775
Claremont Middle,2017-18,18.0,496,0.0362903225806452,public,6th - 8th,"5750 College Ave, Oakland, CA 94618, USA",37.846041,-122.252022
Cleveland Elementary,2017-18,1.0,417,0.00239808153477218,public,K-5,"745 Cleveland St, Oakland, CA 94606, USA",37.804272,-122.244063
Coliseum College Prep Academy,2017-18,14.0,488,0.0286885245901639,public,6th - 12th,"1390 66th Ave, Oakland, CA 94621, USA",37.761869,-122.193566
Community Day High,2017-18,11.0,30,0.366666666666667,public,9th - 12th,"4917 Mountain Blvd, Oakland, CA 94619, USA",37.787647,-122.177667
Community Day Middle,2017-18,11.0,28,0.392857142857143,public,6th - 8th,"4917 Mountain Blvd, Oakland, CA 94619, USA",37.787647,-122.177667
Community United Elementary,2017-18,17.0,407,0.0417690417690418,public,K-5,"6701 International Blvd, Oakland, CA 94621, USA",37.760501,-122.193139
Crocker Highlands Elementary,2017-18,0.0,476,0.0,public,K-5,"525 Midcrest Rd, Oakland, CA 94610, USA",37.811103,-122.227587
Dewey Academy,2017-18,5.0,382,0.0130890052356021,public,9th - 12th,"1111 2nd Ave, Oakland, CA 94606, USA",37.796761,-122.258296
Downtown Charter Academy,2017-18,9.0,277,0.0324909747292419,charter,6th - 8th,"2000 Dennison St, Oakland, CA 94606, USA",37.779565,-122.241663
East Bay Innovation Academy,2017-18,2.0,514,0.00389105058365759,charter,6th - 12th,"3800 Mountain Blvd, Oakland, CA 94619, USA",37.800656,-122.182919
East Oakland Pride Elementary,2017-18,2.0,383,0.00522193211488251,public,K-5,"8000 Birch St, Oakland, CA 94621, USA",37.759203,-122.174555
Edna Brewer Middle,2017-18,29.0,816,0.0355392156862745,public,6th - 8th,"3748 13th Ave, Oakland, CA 94610, USA",37.803527,-122.229126
Emerson Elementary,2017-18,14.0,352,0.0397727272727273,public,K-5,"4803 Lawton Ave, Oakland, CA 94609, USA",37.834683,-122.257399
EnCompass Academy Elementary,2017-18,8.0,359,0.0222841225626741,public,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
Epic Charter,2017-18,39.0,360,0.108333333333333,charter,6th - 8th,"1045 Derby Ave, Oakland, CA 94601, USA",37.777039,-122.229747
Esperanza Elementary,2017-18,0.0,373,0.0,public,K-5,"10315 E St, Oakland, CA 94603, USA",37.737492,-122.173675
Francophone Charter School of Oakland,2017-18,0.0,198,0.0,charter,K-8,"9736 Lawlor St, Oakland, CA 94605, USA",37.751637,-122.157341
Franklin Elementary,2017-18,13.0,772,0.016839378238342,public,K-5,"915 Foothill Blvd, Oakland, CA 94606, USA",37.793433,-122.248715
Fred T. Korematsu Discovery Academy,2017-18,11.0,375,0.0293333333333333,public,K-5,"10315 E St, Oakland, CA 94603, USA",37.737492,-122.173675
Fremont High,2017-18,85.0,887,0.0958286358511838,public,9th - 12th,"4610 Foothill Blvd, Oakland, CA 94601, USA",37.7744,-122.209724
Frick Middle,2017-18,28.0,277,0.101083032490975,public,6th - 8th,"2845 64th Ave, Oakland, CA 94605, USA",37.771098,-122.184307
Fruitvale Elementary,2017-18,5.0,399,0.012531328320802,public,K-5,"3200 Boston Ave, Oakland, CA 94602, USA",37.796182,-122.214102
Futures Elementary,2017-18,18.0,350,0.0514285714285714,public,K-5,"6701 International Blvd, Oakland, CA 94621, USA",37.760501,-122.193139
Garfield Elementary,2017-18,26.0,709,0.0366713681241185,public,K-5,"1640 22nd Ave, Oakland, CA 94606, USA",37.786599,-122.235724
Gateway to College at Laney College,2017-18,0.0,130,0.0,public,9th - 12th,"900 Fallon St, Oakland, CA 94607, USA",37.796148,-122.261338
Glenview Elementary,2017-18,6.0,475,0.0126315789473684,public,K-5,"4215 La Cresta Ave, Oakland, CA 94602, USA",37.805891,-122.219759
Global Family,2017-18,3.0,484,0.00619834710743802,public,K-5,"2035 40th Ave, Oakland, CA 94601, USA",37.779417,-122.213294
Grass Valley Elementary,2017-18,9.0,283,0.0318021201413428,public,K-5,"4720 Dunkirk Ave, Oakland, CA 94605, USA",37.753027,-122.124971
Greenleaf Elementary,2017-18,3.0,668,0.00449101796407186,public,K-8,"6328 E 17th St, Oakland, CA 94621, USA",37.764772,-122.194576
Hillcrest Elementary,2017-18,1.0,391,0.00255754475703325,public,K-8,"30 Marguerite Dr, Oakland, CA 94618, USA",37.840576,-122.232409
Home and Hospital Program,2017-18,0.0,9,0.0,public,K-12,"Oakland, CA, USA",37.786027,-122.223779
Hoover Elementary,2017-18,7.0,325,0.0215384615384615,public,K-5,"890 Brockhurst St, Oakland, CA 94608, USA",37.823272,-122.27426
Horace Mann Elementary,2017-18,27.0,419,0.0644391408114559,public,K-5,"5222 Ygnacio Ave, Oakland, CA 94601, USA",37.773649,-122.202441
Howard Elementary,2017-18,0.0,248,0.0,public,K-5,"8755 Fontaine St, Oakland, CA 94605, USA",37.767932,-122.153988
"Independent Study, Sojourner Truth",2017-18,0.0,281,0.0,public,K-12,"8251 Fontaine St, Oakland, CA 94605, USA",37.766251,-122.154398
International Community,2017-18,3.0,326,0.00920245398773006,public,K-5,"2825 International Blvd, Oakland, CA 94601, USA",37.779451,-122.230805
Joaquin Miller Elementary,2017-18,1.0,457,0.00218818380743982,public,K-5,"5525 Ascot Dr, Oakland, CA 94611, USA",37.818864,-122.201594
KIPP Bridge Academy,2017-18,43.0,596,0.0721476510067114,charter,K-8,"1700 Market St, Oakland, CA 94607, USA",37.810173,-122.279092
Kaiser Elementary,2017-18,4.0,295,0.0135593220338983,public,K-5,"25 S Hill Ct, Oakland, CA 94618, USA",37.852708,-122.231227
LIFE Academy,2017-18,8.0,487,0.0164271047227926,public,6th - 12th,"2101 35th Ave, Oakland, CA 94601, USA",37.78438,-122.216797
LPS Oakland R & D Campus,2017-18,27.0,440,0.0613636363636364,charter,9th - 12th,"8601 MacArthur Blvd, Oakland, CA 94605, USA",37.758308,-122.163277
La Escuelita Elementary,2017-18,10.0,458,0.0218340611353712,public,K-8,"1050 2nd Ave, Oakland, CA 94606, USA",37.796177,-122.258637
Laurel Elementary,2017-18,30.0,574,0.0522648083623693,public,K-5,"3750 Brown Ave, Oakland, CA 94619, USA",37.792805,-122.196211
Learning Without Limits,2017-18,3.0,445,0.00674157303370787,charter,K-5,"2035 40th Ave, Oakland, CA 94601, USA",37.779417,-122.213294
Lighthouse Community Charter,2017-18,28.0,535,0.0523364485981308,charter,K-8,"444 Hegenberger Rd, Oakland, CA 94621, USA",37.736032,-122.196473
Lighthouse Community Charter High,2017-18,1.0,286,0.0034965034965035,charter,9th - 12th,"444 Hegenberger Rd, Oakland, CA 94621, USA",37.736032,-122.196473
Lincoln Elementary,2017-18,4.0,768,0.00520833333333333,public,K-5,"225 11th St, Oakland, CA 94607, USA",37.800023,-122.267151
Lodestar: A Lighthouse Community Charter Public,2017-18,43.0,369,0.116531165311653,charter,K-12,"701 105th Ave, Oakland, CA 94603, USA",37.734288,-122.178492
MLK / Lafayette Elementary,2017-18,30.0,187,0.160427807486631,public,2nd - 5th,"991 14th St, Oakland, CA 94607, USA",37.808747,-122.28281
Madison Park Academy 6-12,2017-18,83.0,828,0.10024154589372,public,6th - 12th,"400 Capistrano Dr, Oakland, CA 94603, USA",37.727683,-122.179249
Madison Park Academy TK-5,2017-18,4.0,322,0.0124223602484472,public,TK-5,"400 Capistrano Dr, Oakland, CA 94603, USA",37.727683,-122.179249
Manzanita Community,2017-18,16.0,494,0.0323886639676113,public,K-5,"2409 E 27th St, Oakland, CA 94601, USA",37.791721,-122.224852
Manzanita SEED Elementary,2017-18,11.0,453,0.0242825607064018,public,K-5,"2409 E 27th St, Oakland, CA 94601, USA",37.791721,-122.224852
Markham Elementary,2017-18,5.0,385,0.012987012987013,public,K-5,"7220 Krause Ave, Oakland, CA 94605, USA",37.765511,-122.178637
"Martin Luther King, Jr. Elementary",2017-18,11.0,320,0.034375,public,PK-3,"960 10th St, Oakland, CA 94607, USA",37.806314,-122.282771
McClymonds High,2017-18,74.0,451,0.164079822616408,public,9th - 12th,"2607 Myrtle St, Oakland, CA 94607, USA",37.817863,-122.278776
Melrose Leadership Academy,2017-18,1.0,537,0.00186219739292365,public,PK-8,"4730 Fleming Ave, Oakland, CA 94619, USA",37.780414,-122.197891
MetWest High,2017-18,8.0,176,0.0454545454545455,public,9th - 12th,"314 E 10th St, Oakland, CA 94606, USA",37.795235,-122.258072
Montclair Elementary,2017-18,1.0,654,0.00152905198776758,public,K-5,"1757 Mountain Blvd, Oakland, CA 94611, USA",37.830269,-122.211867
Montera Middle,2017-18,88.0,812,0.108374384236453,public,6th - 8th,"5555 Ascot Dr, Oakland, CA 94611, USA",37.819275,-122.201776
New Highland Academy,2017-18,6.0,377,0.0159151193633952,public,K-5,"8521 A St, Oakland, CA 94621, USA",37.751703,-122.179513
"Nonpublic, Nonsectarian Schools",2017-18,0.0,176,0.0,,,"Oakland, CA, USA",37.786027,-122.223779
North Oakland Community Charter,2017-18,22.0,245,0.0897959183673469,charter,K-8,"1000 42nd St, Oakland, CA 94608, USA",37.833202,-122.27655
Oakland Charter Academy,2017-18,19.0,239,0.0794979079497908,charter,6th - 8th,"1899-1801 42nd Ave, Oakland, CA 94601, USA",37.775666,-122.213042
Oakland Charter High,2017-18,19.0,486,0.0390946502057613,charter,9th - 12th,"2433 Coolidge Ave, Oakland, CA 94601, USA",37.786321,-122.21947
Oakland High,2017-18,69.0,1679,0.0410958904109589,public,9th - 12th,"1023 MacArthur Blvd, Oakland, CA 94610, USA",37.805332,-122.237079
Oakland International High,2017-18,28.0,455,0.0615384615384615,public,9th - 12th,"4521 Webster St, Oakland, CA 94609, USA",37.833391,-122.260261
"Oakland Military Institute, College Preparatory Academy",2017-18,17.0,759,0.0223978919631094,public,6th - 12th,"3877 Lusk St, Oakland, CA 94608, USA",37.829443,-122.272498
Oakland SOL (School of Language) Dual Language Middle,2017-18,3.0,61,0.0491803278688525,public,6th - 8th,"1180 70th Ave, Oakland, CA 94621, USA",37.759075,-122.190746
Oakland School for the Arts,2017-18,16.0,767,0.0208604954367666,charter,6th - 12th,"530 18th St, Oakland, CA 94612, USA",37.807889,-122.27107
Oakland Technical High,2017-18,34.0,2074,0.0163934426229508,public,9th - 12th,"4351 Broadway, Oakland, CA 94611, USA",37.832271,-122.255457
Oakland Unity High,2017-18,23.0,351,0.0655270655270655,charter,9th - 12th,"6038 Brann St, Oakland, CA 94605, USA",37.773505,-122.184748
Parker Elementary,2017-18,23.0,412,0.0558252427184466,public,K-8,"7929 Ney Ave, Oakland, CA 94605, USA",37.765381,-122.165523
Peralta Elementary,2017-18,3.0,336,0.00892857142857143,public,K-5,"460 63rd St, Oakland, CA 94609, USA",37.849687,-122.258845
Piedmont Avenue Elementary,2017-18,1.0,376,0.00265957446808511,public,K-5,"4314 Piedmont Ave, Oakland, CA 94611, USA",37.829046,-122.248798
ROOTS International Academy,2017-18,38.0,350,0.108571428571429,public,6th - 8th,"1390 66th Ave, Oakland, CA 94621, USA",37.761869,-122.193566
Ralph J. Bunche High,2017-18,2.0,183,0.0109289617486339,public,9th - 12th,"991 14th St Building A, Oakland, CA 94607, USA",37.808747,-122.28281
Reach Academy,2017-18,14.0,491,0.0285132382892057,public,K-5,"9860 Sunnyside St, Oakland, CA 94603, USA",37.746575,-122.16177
Redwood Heights Elementary,2017-18,1.0,372,0.00268817204301075,public,K-5,"4401 39th Ave, Oakland, CA 94619, USA",37.796943,-122.186618
Rise Community,2017-18,7.0,277,0.0252707581227437,public,K-5,"85th Ave, Oakland, CA 94621, USA",37.750388,-122.184096
Roosevelt Middle,2017-18,20.0,569,0.0351493848857645,public,6th - 8th,"1926 E 19th St, Oakland, CA 94606, USA",37.789719,-122.237525
Roses in Concrete,2017-18,18.0,378,0.0476190476190476,charter,K-8,"4551 Steele St, Oakland, CA 94619, USA",37.787688,-122.187875
Rudsdale Continuation,2017-18,4.0,359,0.011142061281337,public,9th - 12th,"8251 Fontaine St, Oakland, CA 94605, USA",37.766251,-122.154398
Sankofa Academy,2017-18,16.0,231,0.0692640692640693,public,PK-5,"581 61st St, Oakland, CA 94609, USA",37.847028,-122.26434
Sequoia Elementary,2017-18,4.0,444,0.00900900900900901,public,K-5,"3730 Lincoln Ave, Oakland, CA 94602, USA",37.802131,-122.211605
Skyline High,2017-18,184,1910,0.0963350785340314,public,K-12,"12250 Skyline Blvd, Oakland, CA 94619, USA",37.798377,-122.16148
Street Academy (Alternative),2017-18,0.0,140,0.0,public,9th - 12th,"417 29th St, Oakland, CA 94609, USA",37.817395,-122.265601
Think College Now,2017-18,19.0,349,0.0544412607449857,public,K-5,"2825 International Blvd, Oakland, CA 94601, USA",37.779451,-122.230805
Thornhill Elementary,2017-18,0.0,403,0.0,public,K-5,"5880 Thornhill Dr, Oakland, CA 94611, USA",37.836251,-122.211458
United for Success Academy,2017-18,42.0,397,0.105793450881612,public,6th - 8th,"2101 35th Ave, Oakland, CA 94601, USA",37.78438,-122.216797
Urban Promise Academy,2017-18,35.0,395,0.0886075949367089,public,6th - 8th,"3031 E 18th St, Oakland, CA 94601, USA",37.781981,-122.224228
Vincent Academy,2017-18,2.0,297,0.00673400673400673,charter,K-5,"2501 Chestnut St, Oakland, CA 94607, USA",37.818122,-122.282197
West Oakland Middle,2017-18,66.0,221,0.298642533936652,public,6th - 8th,"991 14th St, Oakland, CA 94607, USA",37.808747,-122.28281
Westlake Middle,2017-18,48.0,415,0.11566265060241,public,6th - 8th,"2629 Harrison St, Oakland, CA 94612, USA",37.814674,-122.261241
Young Adult Program,2017-18,0.0,166,0.0,public,,"Oakland, CA, USA",37.786027,-122.223779
