Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,white_susp_rate
Bay Area Technology,2016-17,White,33,1,0.0303030303030303
Bella Vista Elementary,2016-17,White,27,0,0.0
Bret Harte Middle,2016-17,White,53,1,0.0188679245283019
Carl B. Munck Elementary,2016-17,White,14,0,0.0
Chabot Elementary,2016-17,White,325,1,0.00307692307692308
Claremont Middle,2016-17,White,129,2,0.0155038759689922
Cleveland Elementary,2016-17,White,64,0,0.0
Crocker Highlands Elementary,2016-17,White,281,0,0.0
East Bay Innovation Academy,2016-17,White,133,6,0.0451127819548872
Edna Brewer Middle,2016-17,White,124,2,0.0161290322580645
Emerson Elementary,2016-17,White,38,0,0.0
EnCompass Academy Elementary,2016-17,White,12,1,0.0833333333333333
Francophone Charter School of Oakland,2016-17,White,65,0,0.0
Franklin Elementary,2016-17,White,16,0,0.0
Fremont High,2016-17,White,19,2,0.105263157894737
Fruitvale Elementary,2016-17,White,25,0,0.0
Garfield Elementary,2016-17,White,12,0,0.0
Gateway to College at Laney College,2016-17,White,11,0,0.0
Glenview Elementary,2016-17,White,170,1,0.00588235294117647
Hillcrest Elementary,2016-17,White,224,0,0.0
Hoover Elementary,2016-17,White,24,0,0.0
Horace Mann Elementary,2016-17,White,14,0,0.0
Howard Elementary,2016-17,White,14,0,0.0
"Independent Study, Sojourner Truth",2016-17,White,24,0,0.0
Joaquin Miller Elementary,2016-17,White,183,0,0.0
Kaiser Elementary,2016-17,White,93,0,0.0
KIPP Bridge Academy,2016-17,White,48,2,0.0416666666666667
La Escuelita Elementary,2016-17,White,15,0,0.0
Laurel Elementary,2016-17,White,30,0,0.0
Lighthouse Community Charter,2016-17,White,17,1,0.0588235294117647
Lincoln Elementary,2016-17,White,24,0,0.0
Lodestar: A Lighthouse Community Charter Public,2016-17,White,19,1,0.0526315789473684
Manzanita Community,2016-17,White,11,0,0.0
Manzanita SEED Elementary,2016-17,White,54,0,0.0
"Martin Luther King, Jr. Elementary",2016-17,White,35,0,0.0
McClymonds High,2016-17,White,18,0,0.0
Melrose Leadership Academy,2016-17,White,63,0,0.0
Montclair Elementary,2016-17,White,272,0,0.0
Montera Middle,2016-17,White,186,4,0.021505376344086
"Nonpublic, Nonsectarian Schools",2016-17,White,34,0,0.0
North Oakland Community Charter,2016-17,White,66,1,0.0151515151515152
Oakland High,2016-17,White,30,1,0.0333333333333333
Oakland International High,2016-17,White,31,3,0.0967741935483871
"Oakland Military Institute, College Preparatory Academy",2016-17,White,25,0,0.0
Oakland School for the Arts,2016-17,White,295,5,0.0169491525423729
Oakland Technical High,2016-17,White,478,4,0.00836820083682008
Peralta Elementary,2016-17,White,180,0,0.0
Piedmont Avenue Elementary,2016-17,White,28,0,0.0
Redwood Heights Elementary,2016-17,White,152,1,0.00657894736842105
Roosevelt Middle,2016-17,White,13,4,0.307692307692308
ROOTS International Academy,2016-17,White,17,1,0.0588235294117647
Sankofa Academy,2016-17,White,15,2,0.133333333333333
Sequoia Elementary,2016-17,White,125,0,0.0
Skyline High,2016-17,White,124,2,0.0161290322580645
Thornhill Elementary,2016-17,White,209,0,0.0
