Name,school_year,students_suspended,total_enrollment,suspended_rate,type,grades,Address,Latitude,Longitude
ACORN Woodland Elementary,2014-15,18.0,309,0.058252427184466,public,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
ARISE High,2014-15,9.0,268,0.0335820895522388,charter,9th - 12th,"3301 E 12th St # 205, Oakland, CA 94601, USA",37.77567,-122.224682
Achieve Academy,2014-15,4.0,799,0.00500625782227785,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Allendale Elementary,2014-15,0.0,425,0.0,public,K-5,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Alliance Academy,2014-15,54.0,438,0.123287671232877,public,6th - 8th,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
American Indian Public Charter,2014-15,0.0,198,0.0,charter,5th - 8th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public High,2014-15,0.0,221,0.0,charter,9th - 12th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
Aspire Berkley Maynard Academy,2014-15,51.0,573,0.0890052356020942,charter,K-8,"6200 San Pablo Ave, Oakland, CA 94608, USA",37.844916,-122.284699
Aspire College Academy,2014-15,16.0,293,0.0546075085324232,charter,K-5,"8030 Atherton St, Oakland, CA 94605, USA",37.761558,-122.170949
Aspire ERES Academy,2014-15,18.0,226,0.079646017699115,charter,K-8,"1936 Courtland Ave, Oakland, CA 94601, USA",37.775569,-122.21229
Aspire Golden State College Preparatory Academy,2014-15,89.0,591,0.150592216582064,charter,6th - 12th,"1009 66th Ave, Oakland, CA 94621, USA",37.759694,-122.198867
Aspire Lionel Wilson College Preparatory Academy,2014-15,47.0,497,0.0945674044265594,charter,6th - 12th,"400 105th Ave, Oakland, CA 94603, USA",37.729428,-122.179864
Aspire Monarch Academy,2014-15,14.0,398,0.0351758793969849,charter,K-5,"1445 101st Ave, Oakland, CA 94603, USA",37.74278,-122.167712
Aspire Triumph Technology Academy,2014-15,74.0,299,0.247491638795987,charter,K-5,"3200 62nd Ave, Oakland, CA 94605, USA",37.774237,-122.182473
Bay Area Technology,2014-15,11.0,304,0.0361842105263158,charter,6th - 12th,"8251 Fontaine St, Oakland, CA 94605, USA",37.766251,-122.154398
Bella Vista Elementary,2014-15,9.0,555,0.0162162162162162,public,K-5,"1025 E 28th St, Oakland, CA 94610, USA",37.80002,-122.237596
Bret Harte Middle,2014-15,57.0,612,0.0931372549019608,public,6th - 9th,"3700 Coolidge Ave, Oakland, CA 94602, USA",37.799696,-122.207414
Bridges Academy,2014-15,1.0,458,0.00218340611353712,public,K-5,"1325 53rd Ave, Oakland, CA 94601, USA",37.767511,-122.207223
Brookfield Elementary,2014-15,5.0,396,0.0126262626262626,public,K-5,"401 Jones Ave, Oakland, CA 94603, USA",37.735949,-122.188626
Burckhalter Elementary,2014-15,1.0,309,0.00323624595469256,public,K-5,"3994 Burckhalter Ave, Oakland, CA 94605, USA",37.775814,-122.166271
Carl B. Munck Elementary,2014-15,6.0,307,0.0195439739413681,public,K-5,"11900 Campus Dr, Oakland, CA 94619, USA",37.79522,-122.174062
Castlemont High,2014-15,71.0,624,0.113782051282051,public,9th - 12th,"8601 MacArthur Blvd, Oakland, CA 94605, USA",37.758308,-122.163277
Chabot Elementary,2014-15,0.0,582,0.0,public,K-5,"6686 Chabot Rd, Oakland, CA 94618, USA",37.850071,-122.242799
Civicorps Corpsmember Academy,2014-15,0.0,140,0.0,charter,9th - 12th,"101 Myrtle St, Oakland, CA 94607, USA",37.79949,-122.285775
Claremont Middle,2014-15,48.0,477,0.10062893081761,public,6th - 8th,"5750 College Ave, Oakland, CA 94618, USA",37.846041,-122.252022
Cleveland Elementary,2014-15,2.0,417,0.00479616306954436,public,K-5,"745 Cleveland St, Oakland, CA 94606, USA",37.804272,-122.244063
Coliseum College Prep Academy,2014-15,13.0,486,0.0267489711934156,public,6th - 12th,"1390 66th Ave, Oakland, CA 94621, USA",37.761869,-122.193566
