Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,black_susp_rate
Bret Harte Middle,2018-19,African American,239,51,0.213389121338912
Bridges Academy,2018-19,African American,24,2,0.0833333333333333
Brookfield Elementary,2018-19,African American,76,3,0.0394736842105263
Burckhalter Elementary,2018-19,African American,200,1,0.005
Carl B. Munck Elementary,2018-19,African American,137,0,0.0
Castlemont High,2018-19,African American,256,22,0.0859375
Chabot Elementary,2018-19,African American,49,0,0.0
Civicorps Corpsmember Academy,2018-19,African American,73,0,0.0
Claremont Middle,2018-19,African American,144,14,0.0972222222222222
Cleveland Elementary,2018-19,African American,71,0,0.0
Coliseum College Prep Academy,2018-19,African American,62,6,0.0967741935483871
Community Day High,2018-19,African American,25,8,0.32
Community United Elementary,2018-19,African American,63,2,0.0317460317460317
Crocker Highlands Elementary,2018-19,African American,40,0,0.0
Dewey Academy,2018-19,African American,177,9,0.0508474576271186
Downtown Charter Academy,2018-19,African American,36,1,0.0277777777777778
East Bay Innovation Academy,2018-19,African American,121,14,0.115702479338843
East Oakland Pride Elementary,2018-19,African American,89,1,0.0112359550561798
Edna Brewer Middle,2018-19,African American,209,14,0.0669856459330144
Elmhurst United Middle,2018-19,African American,125,27,0.216
Emerson Elementary,2018-19,African American,178,6,0.0337078651685393
EnCompass Academy Elementary,2018-19,African American,66,1,0.0151515151515152
Epic Charter,2018-19,African American,48,12,0.25
Francophone Charter School of Oakland,2018-19,African American,37,0,0.0
Franklin Elementary,2018-19,African American,100,2,0.02
Fred T. Korematsu Discovery Academy,2018-19,African American,58,1,0.0172413793103448
Fremont High,2018-19,African American,200,41,0.205
Frick Middle,2018-19,African American,96,20,0.208333333333333
Fruitvale Elementary,2018-19,African American,108,4,0.037037037037037
Futures Elementary,2018-19,African American,155,10,0.0645161290322581
Garfield Elementary,2018-19,African American,136,3,0.0220588235294118
Gateway to College at Laney College,2018-19,African American,36,0,0.0
Glenview Elementary,2018-19,African American,89,1,0.0112359550561798
Global Family,2018-19,African American,18,1,0.0555555555555556
Grass Valley Elementary,2018-19,African American,212,3,0.0141509433962264
Greenleaf Elementary,2018-19,African American,60,6,0.1
Hillcrest Elementary,2018-19,African American,35,1,0.0285714285714286
Hoover Elementary,2018-19,African American,101,8,0.0792079207920792
Horace Mann Elementary,2018-19,African American,84,6,0.0714285714285714
Howard Elementary,2018-19,African American,140,0,0.0
"Independent Study, Sojourner Truth",2018-19,African American,89,0,0.0
Joaquin Miller Elementary,2018-19,African American,84,1,0.0119047619047619
Kaiser Elementary,2018-19,African American,66,2,0.0303030303030303
KIPP Bridge Academy,2018-19,African American,304,40,0.131578947368421
La Escuelita Elementary,2018-19,African American,84,4,0.0476190476190476
Laurel Elementary,2018-19,African American,187,22,0.117647058823529
Learning Without Limits,2018-19,African American,77,0,0.0
LIFE Academy,2018-19,African American,35,1,0.0285714285714286
Lighthouse Community Charter High,2018-19,African American,30,5,0.166666666666667
Lighthouse Community Charter,2018-19,African American,56,13,0.232142857142857
Lincoln Elementary,2018-19,African American,55,4,0.0727272727272727
Lodestar: A Lighthouse Community Charter Public,2018-19,African American,124,17,0.137096774193548
LPS Oakland R & D Campus,2018-19,African American,39,5,0.128205128205128
Madison Park Academy TK-5,2018-19,African American,90,0,0.0
Madison Park Academy 6-12,2018-19,African American,129,40,0.310077519379845
Manzanita Community,2018-19,African American,136,5,0.0367647058823529
Manzanita SEED Elementary,2018-19,African American,45,2,0.0444444444444444
Markham Elementary,2018-19,African American,113,9,0.079646017699115
"Martin Luther King, Jr. Elementary",2018-19,African American,217,7,0.032258064516129
McClymonds High,2018-19,African American,349,55,0.157593123209169
Melrose Leadership Academy,2018-19,African American,41,1,0.024390243902439
MetWest High,2018-19,African American,31,0,0.0
MLK / Lafayette Elementary,2018-19,African American,50,6,0.12
Montclair Elementary,2018-19,African American,99,0,0.0
Montera Middle,2018-19,African American,250,38,0.152
New Highland Academy,2018-19,African American,57,3,0.0526315789473684
"Nonpublic, Nonsectarian Schools",2018-19,African American,90,0,0.0
North Oakland Community Charter,2018-19,African American,58,8,0.137931034482759
Oakland Charter Academy,2018-19,African American,17,1,0.0588235294117647
Oakland Charter High,2018-19,African American,23,3,0.130434782608696
Oakland High,2018-19,African American,430,50,0.116279069767442
Oakland International High,2018-19,African American,27,0,0.0
"Oakland Military Institute, College Preparatory Academy",2018-19,African American,144,30,0.208333333333333
Oakland School for the Arts,2018-19,African American,130,4,0.0307692307692308
Oakland SOL (School of Language) Dual Language Middle,2018-19,African American,29,0,0.0
Oakland Technical High,2018-19,African American,566,33,0.0583038869257951
Oakland Unity High,2018-19,African American,16,0,0.0
Parker Elementary,2018-19,African American,218,22,0.100917431192661
Peralta Elementary,2018-19,African American,49,2,0.0408163265306122
Piedmont Avenue Elementary,2018-19,African American,184,0,0.0
Ralph J. Bunche High,2018-19,African American,105,4,0.0380952380952381
Reach Academy,2018-19,African American,161,6,0.0372670807453416
Redwood Heights Elementary,2018-19,African American,78,0,0.0
Rise Community,2018-19,African American,80,0,0.0
Roosevelt Middle,2018-19,African American,117,14,0.11965811965812
ROOTS International Academy,2018-19,African American,109,22,0.201834862385321
Roses in Concrete,2018-19,African American,167,9,0.0538922155688623
Rudsdale Continuation,2018-19,African American,77,2,0.025974025974026
Sankofa Academy,2018-19,African American,159,32,0.20125786163522
Sequoia Elementary,2018-19,African American,78,0,0.0
Skyline High,2018-19,African American,569,48,0.0843585237258348
Street Academy (Alternative),2018-19,African American,57,0,0.0
Think College Now,2018-19,African American,54,6,0.111111111111111
Thornhill Elementary,2018-19,African American,41,0,0.0
United for Success Academy,2018-19,African American,74,29,0.391891891891892
Urban Promise Academy,2018-19,African American,25,6,0.24
Vincent Academy,2018-19,African American,169,13,0.0769230769230769
West Oakland Middle,2018-19,African American,132,48,0.363636363636364
Westlake Middle,2018-19,African American,187,54,0.288770053475936
Young Adult Program,2018-19,African American,76,0,0.0
