Name,school_year,Ethnicity,CumulativeEnrollment,UnduplicatedCountofStudentsSuspended,black_susp_rate
Allendale Elementary,2015-16,African American,119,0,0.0
Alliance Academy,2015-16,African American,104,35,0.336538461538462
American Indian Public High,2015-16,African American,38,0,0.0
Aspire Berkley Maynard Academy,2015-16,African American,262,16,0.0610687022900763
Aspire College Academy,2015-16,African American,59,7,0.11864406779661
Aspire Golden State College Preparatory Academy,2015-16,African American,85,6,0.0705882352941176
Aspire Lionel Wilson College Preparatory Academy,2015-16,African American,31,1,0.032258064516129
Aspire Monarch Academy,2015-16,African American,11,2,0.181818181818182
Aspire Triumph Technology Academy,2015-16,African American,175,36,0.205714285714286
Bay Area Technology,2015-16,African American,125,7,0.056
Bella Vista Elementary,2015-16,African American,129,1,0.00775193798449612
Bret Harte Middle,2015-16,African American,184,29,0.157608695652174
Bridges Academy,2015-16,African American,37,3,0.0810810810810811
Brookfield Elementary,2015-16,African American,96,2,0.0208333333333333
Burckhalter Elementary,2015-16,African American,199,0,0.0
Carl B. Munck Elementary,2015-16,African American,153,4,0.0261437908496732
Castlemont High,2015-16,African American,269,39,0.144981412639405
Chabot Elementary,2015-16,African American,48,0,0.0
Civicorps Corpsmember Academy,2015-16,African American,81,1,0.0123456790123457
Claremont Middle,2015-16,African American,199,25,0.125628140703518
Cleveland Elementary,2015-16,African American,85,0,0.0
Coliseum College Prep Academy,2015-16,African American,59,3,0.0508474576271186
Community Day High,2015-16,African American,16,3,0.1875
Community United Elementary,2015-16,African American,87,9,0.103448275862069
Conservatory of Vocal/Instrumental Arts High,2015-16,African American,23,2,0.0869565217391304
Crocker Highlands Elementary,2015-16,African American,48,1,0.0208333333333333
Dewey Academy,2015-16,African American,171,2,0.0116959064327485
East Bay Innovation Academy,2015-16,African American,56,2,0.0357142857142857
East Oakland Pride Elementary,2015-16,African American,118,15,0.127118644067797
Edna Brewer Middle,2015-16,African American,212,10,0.0471698113207547
Emerson Elementary,2015-16,African American,174,7,0.0402298850574713
EnCompass Academy Elementary,2015-16,African American,67,4,0.0597014925373134
Epic Charter,2015-16,African American,46,9,0.195652173913043
Francophone Charter School of Oakland,2015-16,African American,29,0,0.0
Franklin Elementary,2015-16,African American,121,10,0.0826446280991736
Fred T. Korematsu Discovery Academy,2015-16,African American,77,6,0.0779220779220779
Fremont High,2015-16,African American,238,78,0.327731092436975
Frick Middle,2015-16,African American,119,36,0.302521008403361
Fruitvale Elementary,2015-16,African American,132,5,0.0378787878787879
Futures Elementary,2015-16,African American,155,14,0.0903225806451613
Garfield Elementary,2015-16,African American,110,7,0.0636363636363636
Gateway to College at Laney College,2015-16,African American,34,0,0.0
Glenview Elementary,2015-16,African American,95,0,0.0
Global Family,2015-16,African American,23,4,0.173913043478261
Grass Valley Elementary,2015-16,African American,225,2,0.00888888888888889
Greenleaf Elementary,2015-16,African American,75,5,0.0666666666666667
Hillcrest Elementary,2015-16,African American,30,0,0.0
Hoover Elementary,2015-16,African American,158,11,0.069620253164557
Horace Mann Elementary,2015-16,African American,165,10,0.0606060606060606
Howard Elementary,2015-16,African American,158,0,0.0
"Independent Study, Sojourner Truth",2015-16,African American,112,0,0.0
Joaquin Miller Elementary,2015-16,African American,68,2,0.0294117647058824
Kaiser Elementary,2015-16,African American,69,0,0.0
KIPP Bridge Academy,2015-16,African American,223,12,0.0538116591928251
La Escuelita Elementary,2015-16,African American,55,1,0.0181818181818182
Laurel Elementary,2015-16,African American,224,3,0.0133928571428571
Learning Without Limits,2015-16,African American,82,22,0.268292682926829
LIFE Academy,2015-16,African American,39,2,0.0512820512820513
Lighthouse Community Charter High,2015-16,African American,24,1,0.0416666666666667
Lighthouse Community Charter,2015-16,African American,51,3,0.0588235294117647
Lincoln Elementary,2015-16,African American,59,0,0.0
LPS Oakland R & D Campus,2015-16,African American,23,2,0.0869565217391304
Madison Park Academy TK-5,2015-16,African American,93,11,0.118279569892473
Madison Park Academy 6-12,2015-16,African American,99,7,0.0707070707070707
Manzanita Community,2015-16,African American,138,2,0.0144927536231884
Manzanita SEED Elementary,2015-16,African American,54,2,0.037037037037037
Markham Elementary,2015-16,African American,156,7,0.0448717948717949
"Martin Luther King, Jr. Elementary",2015-16,African American,198,2,0.0101010101010101
McClymonds High,2015-16,African American,288,59,0.204861111111111
Melrose Leadership Academy,2015-16,African American,68,0,0.0
MetWest High,2015-16,African American,46,1,0.0217391304347826
Montclair Elementary,2015-16,African American,81,0,0.0
Montera Middle,2015-16,African American,357,67,0.187675070028011
New Highland Academy,2015-16,African American,53,0,0.0
"Nonpublic, Nonsectarian Schools",2015-16,African American,108,0,0.0
North Oakland Community Charter,2015-16,African American,47,0,0.0
Oakland Charter Academy,2015-16,African American,18,5,0.277777777777778
Oakland Charter High,2015-16,African American,20,3,0.15
Oakland High,2015-16,African American,598,47,0.0785953177257525
Oakland International High,2015-16,African American,21,0,0.0
"Oakland Military Institute, College Preparatory Academy",2015-16,African American,132,2,0.0151515151515152
Oakland School for the Arts,2015-16,African American,137,18,0.131386861313869
Oakland Technical High,2015-16,African American,670,33,0.0492537313432836
Oakland Unity High,2015-16,African American,15,3,0.2
Parker Elementary,2015-16,African American,229,18,0.0786026200873362
Peralta Elementary,2015-16,African American,52,0,0.0
