,name
107,Piedmont+Avenue+Elem--Oakland+Unified--0161259-6002117
108,Prescott--Oakland+Unified--0161259-6002125
109,Ralph+J%2E+Bunche+High--Oakland+Unified--0161259-0118653
110,Reach+Academy--Oakland+Unified--0161259-0110239
111,Redwood+Heights+Elem--Oakland+Unified--0161259-6002141
112,Rise+Community--Oakland+Unified--0161259-0110262
113,Roosevelt+Middle--Oakland+Unified--0161259-6057087
114,ROOTS+International--Oakland+Unified--0161259-0112805
115,Roses+in+Concrete--Oakland+Unified--0161259-0131896
116,Rudsdale+Continuatio--Oakland+Unified--0161259-0130146
117,Sankofa+Academy--Oakland+Unified--0161259-0110254
118,Sequoia+Elementary--Oakland+Unified--0161259-6002174
119,Skyline+High--Oakland+Unified--0161259-0137943
120,Street+Academy+%28Alte--Oakland+Unified--0161259-0130179
121,Think+College+Now--Oakland+Unified--0161259-0100792
122,Thornhill+Elementary--Oakland+Unified--0161259-6002216
123,United+for+Success+A--Oakland+Unified--0161259-0112763
124,Urban+Promise+Academ--Oakland+Unified--0161259-6118657
125,Vincent+Academy--Oakland+Unified--0161259-0123711
126,West+Oakland+Middle--Oakland+Unified--0161259-0115626
127,Westlake+Middle--Oakland+Unified--0161259-6057095
128,Young+Adult+Program--Oakland+Unified--0161259-0121228
