Name,school_year,students_suspended,total_enrollment,suspended_rate,type,grades,Address,Latitude,Longitude
ACORN Woodland Elementary,2016-17,4.0,315,0.0126984126984127,public,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
ARISE High,2016-17,17.0,280,0.0607142857142857,charter,9th - 12th,"3301 E 12th St # 205, Oakland, CA 94601, USA",37.77567,-122.224682
Achieve Academy,2016-17,18.0,777,0.0231660231660232,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Allendale Elementary,2016-17,0.0,409,0.0,public,K-5,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Alliance Academy,2016-17,44.0,381,0.115485564304462,public,6th - 8th,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
American Indian Public Charter,2016-17,1.0,148,0.00675675675675676,charter,5th - 8th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
American Indian Public High,2016-17,16.0,274,0.0583941605839416,charter,9th - 12th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
Aspire Berkley Maynard Academy,2016-17,25.0,545,0.0458715596330275,charter,K-8,"6200 San Pablo Ave, Oakland, CA 94608, USA",37.844916,-122.284699
Aspire College Academy,2016-17,15.0,310,0.0483870967741935,charter,K-5,"8030 Atherton St, Oakland, CA 94605, USA",37.761558,-122.170949
Aspire ERES Academy,2016-17,17.0,234,0.0726495726495727,charter,K-8,"1936 Courtland Ave, Oakland, CA 94601, USA",37.775569,-122.21229
Aspire Golden State College Preparatory Academy,2016-17,86.0,589,0.146010186757216,charter,6th - 12th,"1009 66th Ave, Oakland, CA 94621, USA",37.759694,-122.198867
Aspire Lionel Wilson College Preparatory Academy,2016-17,29.0,532,0.0545112781954887,charter,6th - 12th,"400 105th Ave, Oakland, CA 94603, USA",37.729428,-122.179864
Aspire Monarch Academy,2016-17,5.0,409,0.0122249388753056,charter,K-5,"1445 101st Ave, Oakland, CA 94603, USA",37.74278,-122.167712
Aspire Triumph Technology Academy,2016-17,32.0,305,0.104918032786885,charter,K-5,"3200 62nd Ave, Oakland, CA 94605, USA",37.774237,-122.182473
Bay Area Technology,2016-17,18.0,324,0.0555555555555556,charter,6th - 12th,"8251 Fontaine St, Oakland, CA 94605, USA",37.766251,-122.154398
Bella Vista Elementary,2016-17,6.0,496,0.0120967741935484,public,K-5,"1025 E 28th St, Oakland, CA 94610, USA",37.80002,-122.237596
Bret Harte Middle,2016-17,33.0,713,0.0462833099579243,public,6th - 9th,"3700 Coolidge Ave, Oakland, CA 94602, USA",37.799696,-122.207414
Bridges Academy,2016-17,7.0,490,0.0142857142857143,public,K-5,"1325 53rd Ave, Oakland, CA 94601, USA",37.767511,-122.207223
Brookfield Elementary,2016-17,14.0,370,0.0378378378378378,public,K-5,"401 Jones Ave, Oakland, CA 94603, USA",37.735949,-122.188626
Burckhalter Elementary,2016-17,5.0,285,0.0175438596491228,public,K-5,"3994 Burckhalter Ave, Oakland, CA 94605, USA",37.775814,-122.166271
Carl B. Munck Elementary,2016-17,0.0,261,0.0,public,K-5,"11900 Campus Dr, Oakland, CA 94619, USA",37.79522,-122.174062
Castlemont High,2016-17,54.0,979,0.0551583248212462,public,9th - 12th,"8601 MacArthur Blvd, Oakland, CA 94605, USA",37.758308,-122.163277
Chabot Elementary,2016-17,3.0,582,0.00515463917525773,public,K-5,"6686 Chabot Rd, Oakland, CA 94618, USA",37.850071,-122.242799
Civicorps Corpsmember Academy,2016-17,1.0,152,0.00657894736842105,charter,9th - 12th,"101 Myrtle St, Oakland, CA 94607, USA",37.79949,-122.285775
Claremont Middle,2016-17,15.0,473,0.0317124735729387,public,6th - 8th,"5750 College Ave, Oakland, CA 94618, USA",37.846041,-122.252022
Cleveland Elementary,2016-17,0.0,420,0.0,public,K-5,"745 Cleveland St, Oakland, CA 94606, USA",37.804272,-122.244063
Coliseum College Prep Academy,2016-17,13.0,483,0.0269151138716356,public,6th - 12th,"1390 66th Ave, Oakland, CA 94621, USA",37.761869,-122.193566
Community Day High,2016-17,9.0,38,0.236842105263158,public,9th - 12th,"4917 Mountain Blvd, Oakland, CA 94619, USA",37.787647,-122.177667
Community Day Middle,2016-17,2.0,17,0.117647058823529,public,6th - 8th,"4917 Mountain Blvd, Oakland, CA 94619, USA",37.787647,-122.177667
Community United Elementary,2016-17,20.0,414,0.0483091787439614,public,K-5,"6701 International Blvd, Oakland, CA 94621, USA",37.760501,-122.193139
Conservatory of Vocal/Instrumental Arts High,2016-17,0.0,63,0.0,charter,9th - 12th,"12500 Campus Dr, Oakland, CA 94619, USA",37.789936,-122.167427
Crocker Highlands Elementary,2016-17,0.0,464,0.0,public,K-5,"525 Midcrest Rd, Oakland, CA 94610, USA",37.811103,-122.227587
Dewey Academy,2016-17,7.0,408,0.017156862745098,public,9th - 12th,"1111 2nd Ave, Oakland, CA 94606, USA",37.796761,-122.258296
Downtown Charter Academy,2016-17,2.0,223,0.00896860986547085,charter,6th - 8th,"2000 Dennison St, Oakland, CA 94606, USA",37.779565,-122.241663
East Bay Innovation Academy,2016-17,15.0,435,0.0344827586206897,charter,6th - 12th,"3800 Mountain Blvd, Oakland, CA 94619, USA",37.800656,-122.182919
East Oakland Pride Elementary,2016-17,8.0,402,0.0199004975124378,public,K-5,"8000 Birch St, Oakland, CA 94621, USA",37.759203,-122.174555
Edna Brewer Middle,2016-17,37.0,822,0.0450121654501217,public,6th - 8th,"3748 13th Ave, Oakland, CA 94610, USA",37.803527,-122.229126
Emerson Elementary,2016-17,8.0,357,0.0224089635854342,public,K-5,"4803 Lawton Ave, Oakland, CA 94609, USA",37.834683,-122.257399
EnCompass Academy Elementary,2016-17,10.0,354,0.0282485875706215,public,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
Epic Charter,2016-17,48.0,454,0.105726872246696,charter,6th - 8th,"1045 Derby Ave, Oakland, CA 94601, USA",37.777039,-122.229747
Esperanza Elementary,2016-17,0.0,370,0.0,public,K-5,"10315 E St, Oakland, CA 94603, USA",37.737492,-122.173675
Francophone Charter School of Oakland,2016-17,0.0,184,0.0,charter,K-8,"9736 Lawlor St, Oakland, CA 94605, USA",37.751637,-122.157341
Franklin Elementary,2016-17,12.0,795,0.0150943396226415,public,K-5,"915 Foothill Blvd, Oakland, CA 94606, USA",37.793433,-122.248715
Fred T. Korematsu Discovery Academy,2016-17,9.0,437,0.0205949656750572,public,K-5,"10315 E St, Oakland, CA 94603, USA",37.737492,-122.173675
Fremont High,2016-17,139.0,932,0.149141630901288,public,9th - 12th,"4610 Foothill Blvd, Oakland, CA 94601, USA",37.7744,-122.209724
Frick Middle,2016-17,31.0,292,0.106164383561644,public,6th - 8th,"2845 64th Ave, Oakland, CA 94605, USA",37.771098,-122.184307
Fruitvale Elementary,2016-17,9.0,419,0.0214797136038186,public,K-5,"3200 Boston Ave, Oakland, CA 94602, USA",37.796182,-122.214102
Futures Elementary,2016-17,14.0,332,0.0421686746987952,public,K-5,"6701 International Blvd, Oakland, CA 94621, USA",37.760501,-122.193139
Garfield Elementary,2016-17,10.0,662,0.0151057401812689,public,K-5,"1640 22nd Ave, Oakland, CA 94606, USA",37.786599,-122.235724
Gateway to College at Laney College,2016-17,0.0,106,0.0,public,9th - 12th,"900 Fallon St, Oakland, CA 94607, USA",37.796148,-122.261338
Glenview Elementary,2016-17,8.0,472,0.0169491525423729,public,K-5,"4215 La Cresta Ave, Oakland, CA 94602, USA",37.805891,-122.219759
Global Family,2016-17,5.0,480,0.0104166666666667,public,K-5,"2035 40th Ave, Oakland, CA 94601, USA",37.779417,-122.213294
Grass Valley Elementary,2016-17,1.0,295,0.00338983050847458,public,K-5,"4720 Dunkirk Ave, Oakland, CA 94605, USA",37.753027,-122.124971
Greenleaf Elementary,2016-17,10.0,636,0.0157232704402516,public,K-8,"6328 E 17th St, Oakland, CA 94621, USA",37.764772,-122.194576
Hillcrest Elementary,2016-17,0.0,381,0.0,public,K-8,"30 Marguerite Dr, Oakland, CA 94618, USA",37.840576,-122.232409
Home and Hospital Program,2016-17,0.0,9,0.0,public,K-12,"Oakland, CA, USA",37.786027,-122.223779
Hoover Elementary,2016-17,0.0,324,0.0,public,K-5,"890 Brockhurst St, Oakland, CA 94608, USA",37.823272,-122.27426
Horace Mann Elementary,2016-17,10.0,458,0.0218340611353712,public,K-5,"5222 Ygnacio Ave, Oakland, CA 94601, USA",37.773649,-122.202441
Howard Elementary,2016-17,4.0,236,0.0169491525423729,public,K-5,"8755 Fontaine St, Oakland, CA 94605, USA",37.767932,-122.153988
"Independent Study, Sojourner Truth",2016-17,0.0,208,0.0,public,K-12,"8251 Fontaine St, Oakland, CA 94605, USA",37.766251,-122.154398
International Community,2016-17,7.0,319,0.0219435736677116,public,K-5,"2825 International Blvd, Oakland, CA 94601, USA",37.779451,-122.230805
Joaquin Miller Elementary,2016-17,2.0,447,0.00447427293064877,public,K-5,"5525 Ascot Dr, Oakland, CA 94611, USA",37.818864,-122.201594
KIPP Bridge Academy,2016-17,30.0,627,0.0478468899521531,charter,K-8,"1700 Market St, Oakland, CA 94607, USA",37.810173,-122.279092
Kaiser Elementary,2016-17,1.0,293,0.00341296928327645,public,K-5,"25 S Hill Ct, Oakland, CA 94618, USA",37.852708,-122.231227
LIFE Academy,2016-17,14.0,485,0.0288659793814433,public,6th - 12th,"2101 35th Ave, Oakland, CA 94601, USA",37.78438,-122.216797
LPS Oakland R & D Campus,2016-17,26.0,371,0.0700808625336927,charter,9th - 12th,"8601 MacArthur Blvd, Oakland, CA 94605, USA",37.758308,-122.163277
La Escuelita Elementary,2016-17,7.0,441,0.0158730158730159,public,K-8,"1050 2nd Ave, Oakland, CA 94606, USA",37.796177,-122.258637
Laurel Elementary,2016-17,10.0,556,0.0179856115107914,public,K-5,"3750 Brown Ave, Oakland, CA 94619, USA",37.792805,-122.196211
Learning Without Limits,2016-17,8.0,440,0.0181818181818182,charter,K-5,"2035 40th Ave, Oakland, CA 94601, USA",37.779417,-122.213294
Lighthouse Community Charter,2016-17,22.0,499,0.0440881763527054,charter,K-8,"444 Hegenberger Rd, Oakland, CA 94621, USA",37.736032,-122.196473
Lighthouse Community Charter High,2016-17,17.0,263,0.064638783269962,charter,9th - 12th,"444 Hegenberger Rd, Oakland, CA 94621, USA",37.736032,-122.196473
Lincoln Elementary,2016-17,3.0,756,0.00396825396825397,public,K-5,"225 11th St, Oakland, CA 94607, USA",37.800023,-122.267151
Lodestar: A Lighthouse Community Charter Public,2016-17,10.0,272,0.0367647058823529,charter,K-12,"701 105th Ave, Oakland, CA 94603, USA",37.734288,-122.178492
Madison Park Academy 6-12,2016-17,68.0,804,0.0845771144278607,public,6th - 12th,"400 Capistrano Dr, Oakland, CA 94603, USA",37.727683,-122.179249
Madison Park Academy TK-5,2016-17,6.0,315,0.019047619047619,public,TK-5,"400 Capistrano Dr, Oakland, CA 94603, USA",37.727683,-122.179249
Manzanita Community,2016-17,11.0,496,0.0221774193548387,public,K-5,"2409 E 27th St, Oakland, CA 94601, USA",37.791721,-122.224852
Manzanita SEED Elementary,2016-17,6.0,448,0.0133928571428571,public,K-5,"2409 E 27th St, Oakland, CA 94601, USA",37.791721,-122.224852
Markham Elementary,2016-17,3.0,409,0.00733496332518337,public,K-5,"7220 Krause Ave, Oakland, CA 94605, USA",37.765511,-122.178637
"Martin Luther King, Jr. Elementary",2016-17,8.0,353,0.0226628895184136,public,PK-3,"960 10th St, Oakland, CA 94607, USA",37.806314,-122.282771
McClymonds High,2016-17,69.0,453,0.152317880794702,public,9th - 12th,"2607 Myrtle St, Oakland, CA 94607, USA",37.817863,-122.278776
Melrose Leadership Academy,2016-17,9.0,531,0.0169491525423729,public,PK-8,"4730 Fleming Ave, Oakland, CA 94619, USA",37.780414,-122.197891
MetWest High,2016-17,3.0,175,0.0171428571428571,public,9th - 12th,"314 E 10th St, Oakland, CA 94606, USA",37.795235,-122.258072
Montclair Elementary,2016-17,0.0,652,0.0,public,K-5,"1757 Mountain Blvd, Oakland, CA 94611, USA",37.830269,-122.211867
Montera Middle,2016-17,78.0,838,0.0930787589498807,public,6th - 8th,"5555 Ascot Dr, Oakland, CA 94611, USA",37.819275,-122.201776
New Highland Academy,2016-17,10.0,397,0.0251889168765743,public,K-5,"8521 A St, Oakland, CA 94621, USA",37.751703,-122.179513
"Nonpublic, Nonsectarian Schools",2016-17,0.0,200,0.0,,,"Oakland, CA, USA",37.786027,-122.223779
North Oakland Community Charter,2016-17,2.0,232,0.00862068965517241,charter,K-8,"1000 42nd St, Oakland, CA 94608, USA",37.833202,-122.27655
Oakland Charter Academy,2016-17,2.0,214,0.00934579439252336,charter,6th - 8th,"1899-1801 42nd Ave, Oakland, CA 94601, USA",37.775666,-122.213042
Oakland Charter High,2016-17,14.0,449,0.0311804008908686,charter,9th - 12th,"2433 Coolidge Ave, Oakland, CA 94601, USA",37.786321,-122.21947
Oakland High,2016-17,69.0,1653,0.0417422867513612,public,9th - 12th,"1023 MacArthur Blvd, Oakland, CA 94610, USA",37.805332,-122.237079
Oakland International High,2016-17,24.0,459,0.0522875816993464,public,9th - 12th,"4521 Webster St, Oakland, CA 94609, USA",37.833391,-122.260261
"Oakland Military Institute, College Preparatory Academy",2016-17,35.0,721,0.0485436893203883,public,6th - 12th,"3877 Lusk St, Oakland, CA 94608, USA",37.829443,-122.272498
Oakland School for the Arts,2016-17,19.0,784,0.024234693877551,charter,6th - 12th,"530 18th St, Oakland, CA 94612, USA",37.807889,-122.27107
Oakland Technical High,2016-17,54.0,2072,0.0260617760617761,public,9th - 12th,"4351 Broadway, Oakland, CA 94611, USA",37.832271,-122.255457
Oakland Unity High,2016-17,7.0,348,0.0201149425287356,charter,9th - 12th,"6038 Brann St, Oakland, CA 94605, USA",37.773505,-122.184748
Parker Elementary,2016-17,15.0,414,0.036231884057971,public,K-8,"7929 Ney Ave, Oakland, CA 94605, USA",37.765381,-122.165523
Peralta Elementary,2016-17,0.0,330,0.0,public,K-5,"460 63rd St, Oakland, CA 94609, USA",37.849687,-122.258845
