,name
106,Ralph+J%2E+Bunche+High--Oakland+Unified--0161259-0118653
107,Reach+Academy--Oakland+Unified--0161259-0110239
108,Redwood+Heights+Elem--Oakland+Unified--0161259-6002141
109,Rise+Community--Oakland+Unified--0161259-0110262
110,Roosevelt+Middle--Oakland+Unified--0161259-6057087
111,ROOTS+International--Oakland+Unified--0161259-0112805
112,Roses+in+Concrete--Oakland+Unified--0161259-0131896
113,Rudsdale+Continuatio--Oakland+Unified--0161259-0130146
114,Sankofa+Academy--Oakland+Unified--0161259-0110254
115,Sequoia+Elementary--Oakland+Unified--0161259-6002174
116,Skyline+High--Oakland+Unified--0161259-0137943
117,Street+Academy+%28Alte--Oakland+Unified--0161259-0130179
118,Think+College+Now--Oakland+Unified--0161259-0100792
119,Thornhill+Elementary--Oakland+Unified--0161259-6002216
120,United+for+Success+A--Oakland+Unified--0161259-0112763
121,Urban+Promise+Academ--Oakland+Unified--0161259-6118657
122,Vincent+Academy--Oakland+Unified--0161259-0123711
123,West+Oakland+Middle--Oakland+Unified--0161259-0115626
124,Westlake+Middle--Oakland+Unified--0161259-6057095
125,Young+Adult+Program--Oakland+Unified--0161259-0121228
