Name,school_year,students_suspended,total_enrollment,suspended_rate,type,grades,Address,Latitude,Longitude
ACORN Woodland Elementary,2015-16,0.0,308,0.0,public,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778
ARISE High,2015-16,12.0,272,0.0441176470588235,charter,9th - 12th,"3301 E 12th St # 205, Oakland, CA 94601, USA",37.77567,-122.224682
Achieve Academy,2015-16,19.0,781,0.0243277848911652,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161
Allendale Elementary,2015-16,0.0,409,0.0,public,K-5,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092
Alliance Academy,2015-16,77.0,412,0.186893203883495,public,6th - 8th,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175
American Indian Public High,2015-16,2.0,237,0.00843881856540084,charter,9th - 12th,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683
Aspire Berkley Maynard Academy,2015-16,17.0,556,0.0305755395683453,charter,K-8,"6200 San Pablo Ave, Oakland, CA 94608, USA",37.844916,-122.284699
Aspire College Academy,2015-16,8.0,304,0.0263157894736842,charter,K-5,"8030 Atherton St, Oakland, CA 94605, USA",37.761558,-122.170949
Aspire ERES Academy,2015-16,10.0,223,0.0448430493273543,charter,K-8,"1936 Courtland Ave, Oakland, CA 94601, USA",37.775569,-122.21229
Aspire Golden State College Preparatory Academy,2015-16,55.0,606,0.0907590759075908,charter,6th - 12th,"1009 66th Ave, Oakland, CA 94621, USA",37.759694,-122.198867
Aspire Lionel Wilson College Preparatory Academy,2015-16,26.0,555,0.0468468468468468,charter,6th - 12th,"400 105th Ave, Oakland, CA 94603, USA",37.729428,-122.179864
Aspire Monarch Academy,2015-16,17.0,396,0.0429292929292929,charter,K-5,"1445 101st Ave, Oakland, CA 94603, USA",37.74278,-122.167712
Aspire Triumph Technology Academy,2015-16,42.0,303,0.138613861386139,charter,K-5,"3200 62nd Ave, Oakland, CA 94605, USA",37.774237,-122.182473
Bay Area Technology,2015-16,11.0,303,0.0363036303630363,charter,6th - 12th,"8251 Fontaine St, Oakland, CA 94605, USA",37.766251,-122.154398
Bella Vista Elementary,2015-16,1.0,509,0.00196463654223969,public,K-5,"1025 E 28th St, Oakland, CA 94610, USA",37.80002,-122.237596
Bret Harte Middle,2015-16,39.0,588,0.0663265306122449,public,6th - 9th,"3700 Coolidge Ave, Oakland, CA 94602, USA",37.799696,-122.207414
Bridges Academy,2015-16,11.0,505,0.0217821782178218,public,K-5,"1325 53rd Ave, Oakland, CA 94601, USA",37.767511,-122.207223
Brookfield Elementary,2015-16,3.0,384,0.0078125,public,K-5,"401 Jones Ave, Oakland, CA 94603, USA",37.735949,-122.188626
Burckhalter Elementary,2015-16,0.0,299,0.0,public,K-5,"3994 Burckhalter Ave, Oakland, CA 94605, USA",37.775814,-122.166271
Carl B. Munck Elementary,2015-16,5.0,268,0.0186567164179104,public,K-5,"11900 Campus Dr, Oakland, CA 94619, USA",37.79522,-122.174062
Castlemont High,2015-16,57.0,855,0.0666666666666667,public,9th - 12th,"8601 MacArthur Blvd, Oakland, CA 94605, USA",37.758308,-122.163277
